split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,brier_score
threshold_selection,0.05,0.8840808719257729,0.4777951769495772,0.968757937515875,0.6399597298544402,0.9832055201144361,0.9228688919320861,0.125995556831749,0.031242062484124967,57832,8337,246,7628,0.0232579852039276
threshold_selection,0.06,0.9011655389435869,0.5190672153635116,0.9611379222758446,0.6740892491315579,0.9832055201144361,0.9228688919320861,0.105971074067917,0.038862077724155446,59157,7012,306,7568,0.0232579852039276
threshold_selection,0.07,0.9025296111718866,0.522706850072579,0.9603759207518415,0.6769616400340182,0.9832055201144361,0.9228688919320861,0.10435400262963018,0.03962407924815849,59264,6905,312,7562,0.0232579852039276
threshold_selection,0.08,0.9049741366503248,0.5293911335578002,0.9584709169418338,0.6820605512878446,0.9832055201144361,0.9228688919320861,0.10139189046230107,0.04152908305816612,59460,6709,327,7547,0.0232579852039276
threshold_selection,0.09,0.9235039098901989,0.5877959637692675,0.9395478790957582,0.7231671554252199,0.9832055201144361,0.9228688919320861,0.07840529553113997,0.06045212090424181,60981,5188,476,7398,0.0232579852039276
threshold_selection,0.1,0.9391704820172062,0.6511753095280818,0.9217678435356871,0.7631966351209254,0.9832055201144361,0.9228688919320861,0.058758633196814215,0.07823215646431293,62281,3888,616,7258,0.0232579852039276
threshold_selection,0.11,0.940534554245506,0.6574720987206243,0.9202438404876809,0.7669753903148981,0.9832055201144361,0.9228688919320861,0.057050884855445905,0.07975615951231903,62394,3775,628,7246,0.0232579852039276
threshold_selection,0.12,0.9408586902205475,0.659022659022659,0.9197358394716789,0.767852409478874,0.9832055201144361,0.9228688919320861,0.056627725974398885,0.08026416052832105,62422,3747,632,7242,0.0232579852039276
threshold_selection,0.13,0.941034263873695,0.6598614655486693,0.919481838963678,0.7683328027167569,0.9832055201144361,0.9228688919320861,0.05640103371669513,0.08051816103632208,62437,3732,634,7240,0.0232579852039276
threshold_selection,0.14,0.9500965655092312,0.7081382607829465,0.9028448056896113,0.7937252274884162,0.9832055201144361,0.9228688919320861,0.04428055433813417,0.09715519431038862,63239,2930,765,7109,0.0232579852039276
