split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,brier_score
test,0.15,0.9419582604764343,0.6681006864988558,0.9080617068922617,0.7698149027052682,0.9811773494954595,0.9164954531261931,0.05398524562095688,0.09193829310773824,127081,7252,1478,14598,0.024619816967674665
unseen_domain_test,0.15,0.9495279724056485,0.6489019993444772,0.8569078947368421,0.7385384414518595,0.97658514143335,0.8695951653360454,0.042068223410856365,0.14309210526315788,121961,5356,1653,9899,0.025089797384650874
