dataset,brier_score,roc_auc,pr_auc
calibration,0.022418893712348092,0.9841145529968975,0.9266402623682375
threshold_selection,0.0232579852039276,0.9832055201144361,0.9228688919320861
test,0.024619816967674665,0.9811773494954595,0.9164954531261931
unseen_domain_test,0.025089797384650874,0.97658514143335,0.8695951653360454
